accessiblity,cs_research,designer,entertainment,expert_user,fanatic,gamer,old_hardware,privacy,programmer,reliable,security,software,tech_support,willing_pay,class
No,No,No,Si,Si,No,Si,No,No,No,Si,No,Si,No,Si,windows
No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,windows
No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,windows
No,No,No,Si,No,Si,Si,No,No,Si,Si,No,No,No,No,windows
No,No,No,Si,No,Si,Si,No,No,No,Si,No,Si,Si,Si,windows
No,No,No,Si,No,No,No,No,No,No,No,Si,No,Si,No,windows
No,No,No,No,Si,Si,No,No,Si,No,Si,No,Si,Si,No,linux
No,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,linux
No,No,No,Si,No,No,Si,Si,No,No,No,No,No,No,No,windows
No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,windows
No,No,No,Si,Si,No,Si,No,No,No,No,No,No,Si,Si,windows
No,No,No,Si,Si,No,No,No,Si,No,No,No,Si,No,No,linux
No,No,No,Si,No,Si,No,No,No,No,No,No,Si,No,No,linux
No,No,No,Si,No,No,Si,No,No,No,Si,No,No,Si,No,windows
No,No,No,Si,No,No,No,No,No,Si,Si,No,No,No,No,linux
No,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,linux
No,No,No,Si,No,No,Si,No,No,No,Si,No,Si,No,No,windows
No,No,Si,Si,Si,No,Si,No,No,No,No,No,Si,Si,Si,windows
No,No,No,Si,No,No,No,No,No,Si,Si,No,No,Si,No,windows
No,No,No,No,No,No,No,Si,No,Si,Si,Si,No,No,No,linux
No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,windows
No,No,Si,No,Si,Si,No,Si,Si,No,Si,Si,Si,No,No,linux
No,Si,No,Si,No,No,Si,No,No,No,No,No,No,No,No,linux
No,No,No,Si,No,No,Si,Si,No,No,Si,No,No,No,No,windows
No,No,No,Si,No,No,No,No,No,No,Si,No,Si,No,No,linux
No,No,No,Si,No,Si,Si,No,No,No,No,No,No,Si,No,windows
No,No,No,Si,Si,No,No,Si,No,No,Si,No,Si,No,No,linux
No,No,No,No,Si,No,No,Si,No,No,Si,No,Si,No,Si,linux
Si,No,Si,Si,Si,No,Si,No,No,No,Si,No,No,Si,No,windows
No,No,Si,No,No,No,Si,Si,No,No,Si,No,No,Si,No,windows
No,No,No,Si,No,No,No,Si,No,Si,Si,No,Si,No,Si,windows
No,No,No,Si,No,No,Si,No,No,No,Si,No,No,No,No,windows
No,No,No,Si,No,No,No,No,No,No,Si,No,No,Si,No,windows
No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,Si,windows
No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,linux
No,No,Si,Si,No,No,No,No,No,No,Si,No,Si,Si,No,windows
No,No,Si,Si,No,Si,No,No,No,No,Si,No,Si,No,Si,linux
No,No,No,Si,No,No,No,No,No,No,Si,No,No,Si,No,linux
No,No,No,Si,Si,Si,No,No,Si,No,Si,No,No,No,No,linux
No,No,No,Si,Si,No,Si,No,No,No,Si,No,No,No,Si,linux
Si,No,No,Si,Si,Si,Si,No,No,No,Si,No,No,Si,No,windows
No,No,No,Si,No,No,No,No,Si,No,Si,Si,No,No,No,linux
No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,windows
No,No,No,No,Si,No,No,Si,No,No,Si,No,Si,No,No,linux
No,Si,No,Si,No,No,No,No,No,No,Si,Si,No,No,No,linux
No,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,windows
No,No,Si,Si,No,No,Si,No,No,No,No,No,Si,Si,No,windows
No,No,No,Si,Si,Si,No,No,No,No,Si,No,No,Si,Si,windows
No,No,No,Si,No,No,No,No,No,No,No,No,Si,Si,Si,windows
No,No,No,Si,No,No,No,No,No,No,No,No,Si,No,Si,windows
